Hidropatia Total,Hidropatia Media,Hidropatia C-Terminal,Carga C-Terminal,Aminoacidos Basicos C-Terminal,Dupla Helice,Sinal Nuclear,Sinal Mitocondrial,Dominio Prenilacao,c#CLASSE
135.2,0.67,1.0,5,6,1,0,0,0,0
8.6,0.03,-11.2,1,4,1,0,0,0,0
-42.5,-0.46,-24.8,5,6,0,0,0,0,0
-89.8,-0.19,-18.4,4,7,1,1,0,0,0
-43.7,-0.21,-8.4,4,5,1,0,0,0,0
-84.0,-0.21,-2.2,-1,1,1,0,0,0,0
-111.9,-0.23,-11.1,2,4,1,0,1,0,0
-12.7,-0.05,-0.6,-4,1,0,0,0,0,0
65.6,0.11,-7.2,0,3,1,0,1,0,0
90.0,0.27,22.6,2,2,1,0,0,0,0
82.4,0.37,-12.1,1,3,0,0,0,0,0
387.2,0.82,-12.5,-3,2,1,0,0,0,0
-175.0,-0.39,-13.0,3,5,1,0,0,0,0
3.4,0.04,-19.7,-1,4,0,0,1,0,0
-83.9,-0.14,12.4,0,3,1,0,1,0,0
-256.8,-0.47,-8.7,-2,2,1,0,0,0,0
-36.1,-0.13,-9.8,5,7,1,0,0,0,0
122.9,0.95,54.2,1,1,0,0,1,0,0
104.1,0.91,41.9,0,0,1,0,0,0,0
-167.3,-0.28,-25.5,-1,4,1,0,1,0,0
-273.0,-0.29,1.3,1,3,1,0,1,0,0
-113.5,-0.28,4.7,-1,3,1,0,0,0,0
29.2,0.07,10.5,1,3,1,0,0,0,0
-156.1,-0.73,-49.3,8,11,1,0,1,0,0
-32.2,-0.26,38.5,-2,0,0,0,1,0,0
-127.0,-0.3,-10.1,-2,1,1,0,0,0,0
-12.4,-0.03,-2.4,-1,3,1,0,0,0,0
-64.1,-0.2,5.8,1,4,0,0,1,0,0
-34.3,-0.11,-0.0,2,3,1,0,0,0,0
-55.3,-0.22,-17.8,3,7,0,0,0,0,0
379.5,0.87,11.5,4,5,1,0,0,0,0
-0.2,-0.0,-4.6,0,4,1,0,1,0,0
-44.1,-0.19,-20.7,6,9,1,0,1,0,0
-130.3,-0.31,-8.4,0,3,1,0,1,0,0
-51.5,-0.41,9.0,-2,2,1,0,0,0,0
-51.6,-0.69,-40.5,4,7,1,0,0,0,0
37.7,0.09,1.5,3,4,1,0,0,0,0
306.6,0.71,27.1,3,4,1,0,0,0,0
-102.0,-0.38,0.6,4,5,1,0,0,0,0
391.7,0.96,46.4,0,0,1,0,0,0,0
349.7,0.88,37.8,2,3,1,0,1,0,0
-34.9,-0.14,-26.0,2,3,1,1,1,0,0
-53.8,-0.19,-9.4,2,4,1,0,1,0,0
-134.8,-0.23,-6.1,-3,3,1,1,0,0,0
228.3,0.61,23.3,4,5,1,0,1,0,0
238.4,0.64,20.3,1,2,1,0,1,0,0
-116.5,-0.24,6.9,-2,1,1,0,1,0,0
-272.3,-0.45,-2.3,1,2,1,1,1,0,0
-83.1,-0.16,-4.6,2,3,1,0,0,0,0
-355.8,-0.33,3.7,-3,1,1,1,1,0,0
-16.2,-0.48,-24.8,2,4,0,0,1,0,0
-2.0,-0.01,-6.3,4,4,0,0,1,0,0
412.4,0.86,-5.6,3,5,1,0,0,0,0
-6.5,-0.02,19.1,-1,2,1,0,0,0,0
47.1,0.13,-0.2,2,5,1,0,0,0,0
26.1,0.08,-5.4,-1,3,1,0,1,0,0
-5.6,-0.02,-23.1,-6,1,1,0,1,0,0
195.1,1.23,20.1,3,3,0,0,1,0,0
-118.7,-0.53,-29.0,3,6,1,0,0,0,0
-213.2,-0.28,-21.2,4,8,1,0,1,0,0
11.3,0.03,23.8,1,3,1,0,1,0,0
